File,Max Bits,Compression Success,Compression Time (s),Decompression Success,Decompression Time (s),Match Original,Original Size (bytes),Compressed Size (bytes),Size Delta (bytes),File Type,CPU Usage (%),Memory Usage (%),Disk Usage (%),Compression Output,Decompression Output
source_code.py,13,True,0.18479228019714355,True,0.07458853721618652,True,3100,1022,2078.0,.py,7.258064516129006,0.0,5.2711510404316526e-05,"Tempo de execução: 0.1177 segundos
Taxa de compressão: 6.0665
","Tempo de execução: 0.0006 segundos
Taxa de descompressão: 6.0665
"
html_with_comments.txt,13,True,0.12863612174987793,True,0.07868051528930664,True,1320,622,698.0,.txt,0.0,0.0,4.744018306850378e-05,"Tempo de execução: 0.0678 segundos
Taxa de compressão: 4.2444
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 4.2444
"
yaml_data.yaml,13,True,0.13122200965881348,True,0.07421302795410156,True,680,390,290.0,.yaml,0.0,0.0,4.744005428618123e-05,"Tempo de execução: 0.0513 segundos
Taxa de compressão: 3.4872
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 3.4872
"
long_text_with_numbers.txt,13,True,0.1246037483215332,True,0.07615280151367188,True,930,436,494.0,.txt,0.0,0.2746463543007551,7.643099109067657e-05,"Tempo de execução: 0.0468 segundos
Taxa de compressão: 4.2661
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 4.2661
"
symbols_and_numbers.txt,13,True,0.11503434181213379,True,0.0697324275970459,True,1000,380,620.0,.txt,0.0,2.1501391087210844,3.6897596335077716e-05,"Tempo de execução: 0.0396 segundos
Taxa de compressão: 5.2632
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 5.2632
"
mixed_data.txt,14,True,0.10674548149108887,True,0.07450509071350098,False,660,404,256.0,.txt,0.0,0.0,5.007516149964356e-05,"Tempo de execução: 0.0411 segundos
Taxa de compressão: 3.0446
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 3.0990
"
hex_values.txt,14,True,0.09297990798950195,True,0.07416963577270508,True,220,176,44.0,.txt,0.0,0.0,4.743949040288567e-05,"Tempo de execução: 0.0256 segundos
Taxa de compressão: 2.5000
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 2.5000
"
sql_query.sql,14,True,0.14912748336791992,True,0.06262993812561035,True,1700,646,1054.0,.sql,0.0,0.0,7.906561520994728e-05,"Tempo de execução: 0.0743 segundos
Taxa de compressão: 5.2632
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 5.2632
"
csv_data.csv,14,True,0.11116671562194824,True,0.08003973960876465,True,640,370,270.0,.csv,0.0,0.0,5.5345764360980576e-05,"Tempo de execução: 0.0379 segundos
Taxa de compressão: 3.4595
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 3.4595
"
json_array.txt,14,True,0.11019468307495117,True,0.0735161304473877,True,540,348,192.0,.txt,3.8567493112947817,0.0007820434992145351,4.743909531747666e-05,"Tempo de execução: 0.0372 segundos
Taxa de compressão: 3.1034
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 3.1034
"
alpha_numeric.txt,14,True,0.10687732696533203,True,0.07761216163635254,True,406,240,166.0,.txt,0.0,0.0,4.743894903752302e-05,"Tempo de execução: 0.0311 segundos
Taxa de compressão: 3.3583
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 3.3583
"
repeating_words.txt,14,True,0.17196059226989746,True,0.08000802993774414,True,2600,502,2098.0,.txt,0.0,0.0,5.2709786399388696e-05,"Tempo de execução: 0.1064 segundos
Taxa de compressão: 10.3586
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 10.3586
"
special_characters.txt,14,True,0.19225049018859863,True,0.06384611129760742,True,11,22,-11.0,.txt,0.0,0.2056340349647364,7.115797909441826e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.1136 segundos
Taxa de compressão: 1.0000
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.0000
"
binary_pattern.bin,14,True,0.08708047866821289,True,0.06799507141113281,False,256,32,224.0,.bin,0.0,0.0,5.7980401359313606e-05,"Tempo de execução: 0.0198 segundos
Taxa de compressão: 16.0000
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 8.0000
"
json_data.txt,14,True,0.0951535701751709,True,0.07122492790222168,True,47,82,-35.0,.txt,96.92737430167601,0.6514275945285648,5.5344756455926304e-05,"Tempo de execução: 0.0200 segundos
Taxa de compressão: 1.1463
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.1463
"
mixed_case_text.txt,14,True,0.12427020072937012,True,0.07339024543762207,True,810,388,422.0,.txt,0.0,0.0,5.5344587259834136e-05,"Tempo de execução: 0.0474 segundos
Taxa de compressão: 4.1753
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 4.1753
"
html_snippet.txt,14,True,0.1055443286895752,True,0.0795896053314209,True,72,108,-36.0,.txt,0.0,0.0,5.5344416606202895e-05,"Tempo de execução: 0.0228 segundos
Taxa de compressão: 1.3333
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.3333
"
small_image.bmp,14,True,0.34967780113220215,True,0.06188178062438965,False,10000,562,9438.0,.bmp,2.0942408376963275,0.0,4.4802494265544274e-05,"Tempo de execução: 0.2810 segundos
Taxa de compressão: 35.5872
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 35.5872
"
html_page.txt,14,True,0.17234325408935547,True,0.078338623046875,True,2360,902,1458.0,.txt,35.23035230352304,0.0,4.743778758170434e-05,"Tempo de execução: 0.1031 segundos
Taxa de compressão: 5.2328
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 5.2328
"
html_long_text.txt,14,True,0.1912691593170166,True,0.06518149375915527,True,2807,772,2035.0,.txt,0.0,0.050358388893412105,7.90627313490819e-05,"Tempo de execução: 0.1180 segundos
Taxa de compressão: 7.2720
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 7.2720
"
small_text.txt,14,True,0.09491205215454102,True,0.07399463653564453,True,47,86,-39.0,.txt,0.0,0.0,5.5343687329039064e-05,"Tempo de execução: 0.0202 segundos
Taxa de compressão: 1.0930
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.0930
"
long_random_chars.txt,14,True,0.13187670707702637,True,0.0749361515045166,True,620,496,124.0,.txt,0.0,0.0,4.743730126241464e-05,"Tempo de execução: 0.0538 segundos
Taxa de compressão: 2.5000
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 2.5000
"
large_image.bmp,14,True,67.95134782791138,True,0.08411097526550293,False,2073600,2536,2071064.0,.bmp,0.0,0.0,4.216636888425574e-05,"Tempo de execução: 67.8728 segundos
Taxa de compressão: 1635.3312
","Tempo de execução: 0.0020 segundos
Taxa de descompressão: 63.8801
"
mixed_ascii_binary.bin,14,True,0.09161853790283203,True,0.06803631782531738,False,400,0,,.bin,10.73298429319372,0.0,7.906172288091326e-05,"Tempo de execução: 0.0162 segundos
Taxa de compressão: 0.0000
","Tempo de execução: 0.0000 segundos
Taxa de descompressão: 0.0000
"
random_english_words.txt,14,True,0.17158722877502441,True,0.1021733283996582,True,1850,686,1164.0,.txt,0.0,0.0,5.007236378953236e-05,"Tempo de execução: 0.0937 segundos
Taxa de compressão: 5.3936
","Tempo de execução: 0.0005 segundos
Taxa de descompressão: 5.3936
"
sequential_numbers.txt,14,True,0.11758852005004883,True,0.07277154922485352,True,1000,274,726.0,.txt,0.0,0.0,5.007222127304617e-05,"Tempo de execução: 0.0393 segundos
Taxa de compressão: 7.2993
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 7.2993
"
json_nested.txt,14,True,0.12275314331054688,True,0.0662379264831543,True,840,416,424.0,.txt,7.71276595744681,0.0,4.743670494105989e-05,"Tempo de execução: 0.0459 segundos
Taxa de compressão: 4.0385
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 4.0385
"
short_text.txt,14,True,0.18486714363098145,True,0.06933879852294922,True,13,26,-13.0,.txt,40.957446808510625,0.0,5.534264449608703e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.1201 segundos
Taxa de compressão: 1.0000
","Tempo de execução: 0.0000 segundos
Taxa de descompressão: 1.0000
"
css_snippet.css,14,True,0.1302046775817871,True,0.06777191162109375,True,1040,440,600.0,.css,0.0,0.19102952700893686,6.324854321475162e-05,"Tempo de execução: 0.0567 segundos
Taxa de compressão: 4.7273
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 4.7273
"
long_numbers.txt,14,True,0.14052677154541016,True,0.07451367378234863,True,2000,390,1610.0,.txt,0.0,0.0,5.534231050614997e-05,"Tempo de execução: 0.0638 segundos
Taxa de compressão: 10.2564
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 10.2564
"
empty_string.txt,14,True,0.18195772171020508,True,0.07506704330444336,True,0,0,,.txt,0.0,0.05020864590917442,5.5342145700373824e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.1102 segundos
Taxa de compressão: 0.0000
","Tempo de execução: 0.0000 segundos
Taxa de descompressão: 0.0000
"
numeric_sequence.txt,14,True,0.09615278244018555,True,0.06983828544616699,True,40,48,-8.0,.txt,19.526627218934923,0.0,5.5342084445379806e-05,"Tempo de execução: 0.0162 segundos
Taxa de compressão: 1.6667
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.6667
"
repeated_text.txt,14,True,0.19627022743225098,True,0.08170223236083984,True,2850,1070,1780.0,.txt,6.741573033707872,0.2124873667597668,5.797723081296912e-05,"Tempo de execução: 0.1256 segundos
Taxa de compressão: 5.3271
","Tempo de execução: 0.0005 segundos
Taxa de descompressão: 5.3271
"
code_snippet.py,14,True,0.1387021541595459,True,0.19450736045837402,True,1410,676,734.0,.py,0.0,0.1981703444138047,5.007108117036146e-05,"Tempo de execução: 0.0760 segundos
Taxa de compressão: 4.1716
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 4.1716
"
